hours,op_density,co2_in,hlorophyle,caratin,co2_out,subs_flow,co2_flow,contagion,subs_consumption
18,47.1,2,2.2,1.6,1.4,7,400,9,-2.40
20,47.8,2,2.1,1.1,1.6,7,400,7,-1.60
22,49.7,2,2.3,1.3,1.3,7,300,5,-2.10
24,52.8,2,2.3,1.3,1.3,7,300,5,-2.10
26,50.9,2,2.1,1,1.5,7,300,5,-1.50
28,49.2,2,2.2,1.1,1.4,7,300,5,-1.80
30,50.1,2,2.2,1.1,1.2,7,300,6,-2.40
32,47.5,2,2.3,1.2,1.4,7,300,6,-1.80
34,49.3,2,2.1,1,1.2,7,300,6,-2.40
36,51,2,2,1.9,1.4,7,300,6,-1.80
38,49.5,2,2.3,1.3,1.3,7,300,6,-2.10
40,48.7,2,2.2,1,1.3,7,300,6,-2.10
42,50.9,2,2.1,1,1.3,7,300,6,-2.10
44,51.3,2,2.3,1.3,1,7,300,8,-3.00
46,44.6,2,2.4,1.1,0.7,19,300,8,-3.90
48,45,2,2.5,1.2,0.5,19,300,8,-4.50
50,46.2,2,2.4,1.1,0.7,19,300,10,-3.90
52,45.8,2,2,1.7,0.7,19,300,10,-3.90
54,42.1,2,2.2,1.8,0.5,19,300,10,-4.50
56,40.7,2,2.2,1.8,0.5,19,300,10,-4.50
58,38.2,2,2.6,1.9,0.4,19,300,10,-4.80
60,36.6,2,2.5,1.7,0.5,19,300,6,-4.50
62,32.9,2,2.5,1.7,0.5,19,300,6,-4.50
64,29.6,3,2.9,1,0.4,25,300,6,-7.80
66,29.6,3,2.9,1,0.7,25,300,6,-6.90
68,27.2,3,2.8,1.7,1,25,300,6,-6.00
70,26.8,3,2.8,1.3,1.2,25,300,6,-5.40
72,26.2,3,2.9,1.3,1.6,25,300,6,-4.20
74,25.5,3,2.9,1.1,1.8,25,300,6,-3.60
76,25.3,3,2.9,1,1.8,25,300,4,-3.60
78,26.8,3,2.8,1.8,1.9,25,300,4,-3.30
80,27.6,3,2.7,1.8,2,25,300,4,-3.00
82,30.2,3,2.6,1.6,2,25,300,4,-3.00
84,31,3,2.5,1.4,2.1,25,300,7,-2.70
86,32.1,3,2.5,1.5,2.2,25,300,7,-2.40
88,30.5,2,2.4,1.7,2.1,25,300,7,0.30
90,32.6,2,2.2,1.7,2.1,25,300,6,0.30
92,32.5,2,2.7,1.7,2.2,25,300,6,0.60
94,33.3,2,2.5,1.9,2.3,25,300,6,0.90
96,35.25,2,2.3,1.8,2.3,25,300,6,0.90
98,37.8,2,2.1,1.1,2.2,25,300,4,0.60
100,38.2,2,2.3,1.2,2.2,25,300,4,0.60
102,40.4,2,2.9,1.2,2.2,25,300,4,0.60
104,42.2,2,2.6,1,2.3,25,300,4,0.90
106,44,2,2.6,1.6,2.1,25,400,4,0.40
108,45.7,2,2.6,1.5,1.1,25,400,4,-3.60
110,46.8,2,2.8,1,0.7,25,400,4,-5.20
112,48.2,2,2.7,1.8,0.8,25,400,4,-4.80
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,40.5,2,2.7,1.3,1.6,25,300,4,-1.20
2,41.2,2,2.5,1.5,2,25,300,4,0.00
4,41.8,2,2.3,1.1,2.2,25,300,4,0.60
6,41.8,2,2.3,1.6,2,25,250,4,0.00
8,41.75,2,2.1,1.9,1.9,25,250,4,-0.25
10,41.2,2,2.6,1.7,2.1,25,250,4,0.25
12,40.25,2,2.5,1.8,2,25,250,4,0.00
14,40,2,2.6,1.9,1.9,25,250,6,-0.25
16,41.75,2,2.7,1.2,1.8,25,250,6,-0.50
18,40,2,2,1.7,1.5,25,250,6,-1.25
20,40,2,2.9,1.6,1.6,25,250,6,-1.00
22,41.2,2,2.8,1.5,1.8,25,250,6,-0.50
24,42,2,2.9,1.4,1.8,25,250,6,-0.50
26,39,2,2.9,1.6,1.6,25,250,6,-1.00
28,41.25,2,2.8,1.5,1.8,25,250,6,-0.50
30,41.25,2,2.9,1.5,1.8,25,250,6,-0.50
32,42.5,2,2.9,1.4,1.8,25,250,6,-0.50
34,40.65,2,2.9,1.5,1.8,25,250,6,-0.50
36,41.5,2,2.8,1.4,1.8,25,250,6,-0.50
38,42.5,2,2.9,1.3,1.8,25,250,4,-0.50
40,43.1,2,2.8,1.2,1.8,25,250,4,-0.50
42,43.8,2,2.8,1,1.9,25,250,4,-0.25
44,44,2,2.6,1.9,1.9,25,250,4,-0.25
46,45.6,2,2.6,1.8,2,25,250,4,0.00
48,47.4,2,2.6,1.4,1.7,25,250,4,-0.75
50,49.3,2,2.5,1.6,1.7,25,250,4,-0.75
52,51,2,2.5,1.5,1.6,25,350,4,-1.40
54,51.9,2,2.5,1.6,1.6,25,350,4,-1.40
56,53.7,2,2.4,1.8,1.5,25,400,4,-2.00
58,54,2,2.5,1.5,1.6,25,400,4,-1.60
60,53.5,2,2.5,1.2,1.9,25,400,4,-0.40
62,54,2,2.6,1.9,2.1,25,400,4,0.40
64,54,2,2.7,1.6,2.3,25,400,4,1.20
66,55.5,2,2.6,1.2,2.5,25,400,4,2.00
68,55,5,2.5,2.8,3,25,150,4,-3.00
70,55.2,5,2.4,2.4,3.4,25,150,4,-2.40
72,55.4,5,2.34,2.4,3.2,25,175,4,-3.15
74,54,5,2.36,2.2,3.3,25,175,4,-2.98
76,54.5,5,2.36,2.4,3.1,25,175,4,-3.33
78,54,5,2.36,2.6,3.1,25,175,4,-3.33
80,54.5,5,2.4,2.5,3.3,25,200,4,-3.40
82,53.5,5,2.3,2.2,3.5,25,200,4,-3.00
84,53.5,5,2.5,2,3.3,25,200,4,-3.40
86,54,5,2.2,2,3.6,25,200,4,-2.80
88,54,5,2.3,2,3.6,25,200,4,-2.80
90,53.5,5,2.2,2.2,3.5,25,200,4,-3.00
92,53,5,2.1,2.1,3.6,25,200,4,-2.80
94,53,5,2.2,2,3.6,25,200,4,-2.80
96,54,5,2,2,3.7,25,200,4,-2.60
98,55,5,2,2,3.6,25,200,4,-2.80
100,54,5,2.3,2.2,3.3,25,200,4,-3.40
102,54,5,2.3,2.8,2.7,25,200,4,-4.60
104,51,5,2.1,2.9,3.3,25,200,4,-3.40
106,52.5,5,2.2,2.9,3.4,25,200,4,-3.20
108,51.5,5,2.2,3,3.2,25,200,6,-3.60
110,53.7,5,2.2,3.2,3.1,25,200,6,-3.80
112,52.6,5,2.2,3.3,3.1,25,200,6,-3.80
114,52.2,5,2.3,3.3,3,25,200,6,-4.00
116,53.3,5,2.3,3.3,3,25,200,6,-4.00
118,52.2,5,2.3,3.4,3,25,200,6,-4.00
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,5.5,2,2.6,1.3,2.2,25,250,6,0.50
2,5.8,2,2.6,1.3,2.1,25,250,6,0.25
4,5.2,2,2.6,1.6,2.1,25,250,6,0.25
6,5.7,2,2.6,1.6,2,25,250,6,0.00
8,5.3,2,2.8,1.3,2,25,250,6,0.00
10,6.5,2,2.8,1.1,1.9,25,250,6,-0.25
12,7.2,2,2,1.1,1.7,25,250,6,-0.75
14,7.5,2,2,1.9,1.7,25,250,6,-0.75
16,7.2,2,2.1,1.8,1.5,25,250,4,-1.25
18,9.6,2,2,1.5,1.3,25,250,4,-1.75
20,8.15,2,2,1.5,1.1,25,250,4,-2.25
22,8.2,2,2.1,1.5,1.1,25,250,4,-2.25
24,9.2,2,2.2,1.5,1.1,25,250,4,-2.25
26,9,2,2.1,1.3,1.1,25,250,4,-2.25
28,9.75,2,2.2,1.4,1,25,250,7,-2.50
30,10.45,2,2.2,1.5,1.1,25,250,7,-2.25
32,11.25,2,2.4,1.4,1.1,25,250,7,-2.25
34,12.9,2,2.4,1.4,1.1,25,250,7,-2.25
36,14.6,2,2.3,1.4,1,25,250,6,-2.50
38,16.2,2,2.4,1.4,1.1,25,250,6,-2.25
40,14.6,2,2.4,1.3,1.1,25,250,6,-2.25
42,13.2,2,2.3,1.2,1,25,250,6,-2.50
44,14.9,2,2.4,1.4,1.1,25,250,6,-2.25
46,17.2,2,2.5,1.4,1,25,250,8,-2.50
48,17.1,2,2.6,1.5,0.9,7,250,8,-2.75
50,17.7,2,2.6,1.6,0.9,7,250,8,-2.75
52,19.7,2,2.6,1.7,0.9,7,250,8,-2.75
54,18.6,2,2.7,1.6,0.9,7,250,8,-2.75
56,15.3,2,2.7,1.6,1,7,250,8,-2.50
58,14.2,2,2.7,1.6,0.9,7,250,8,-2.75
60,13.8,2,2.8,1.7,0.8,7,250,8,-3.00
62,14.5,2,2.8,1.8,0.8,7,250,10,-3.00
64,14.9,2,2.7,1.8,0.8,7,250,10,-3.00
66,13.7,2,2.7,1.8,0.8,7,250,10,-3.00
68,12.4,2,2.8,1.9,0.7,7,250,10,-3.25
70,11.6,2,2.8,1.9,0.8,7,250,15,-3.00
72,10.2,2,2.9,1,0.7,7,250,15,-3.25
74,9.8,2,2.9,1.3,0.7,7,250,15,-3.25
76,9.6,2,2.9,1.6,0.6,7,250,15,-3.50
